date,open,high,low,close,volume,log_close,log_return,pct_return,cum_log_return,cum_pct_return,slope,slope_zscore,slope_fast,slope_slow,slope_fast_zscore,slope_slow_zscore,sma_fast,sma_slow,volatility,vol_percentile,vol_trend,rsi,returns_zscore,ulcer_index,trend_signal,regime_signal,vol_adj_signal,vol_mom_signal,mr_signal,ulcer_signal,raw_signal,constrained_signal,signal,exposure,asset_return,position_change,transaction_costs,gross_return,strategy_return,equity,bh_equity,peak,drawdown,bh_drawdown
2011-01-03,138.67,139.0,137.88,138.0,11510100,4.927253685157205,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,100000.0,100000.0,100000.0,0.0,0.0
2011-01-04,136.24,136.28,134.16,134.75,26154200,4.903421209789107,-0.023832475368098294,-0.023550724637681153,-0.023832475368098294,-0.023550724637681153,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,-0.023832475368098294,,,,,100000.0,97616.75246319018,100000.0,0.0,-0.023832475368098238
2011-01-05,133.5,134.68,133.1,134.37,16700800,4.9005971888873185,-0.002824020901788238,-0.002820037105751405,-0.02665649626988653,-0.026304347826086927,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,-0.002824020901788238,,,,,100000.0,97341.08071386944,100000.0,0.0,-0.026589192861305636
2011-01-06,134.06,134.38,133.14,133.83,15969200,4.896570337808283,-0.004026851079035332,-0.004018754186202234,-0.030683347348921863,-0.03021739130434775,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,-0.004026851079035332,,,,,100000.0,96949.10267796232,100000.0,0.0,-0.03050897322037679
2011-01-07,133.38,134.61,133.18,133.58,16761700,4.89470054929749,-0.0018697885107927803,-0.0018680415452440036,-0.032553135859714644,-0.03202898550724631,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,-0.0018697885107927803,,,,,100000.0,96767.82835964339,100000.0,0.0,-0.0323217164035661
2011-01-10,133.84,134.2,133.24,134.12,8429800,4.898734921598028,0.004034372300537825,0.004042521335529292,-0.02851876355917682,-0.028115942028985375,,,,,,,,,,,,3.5617174296767473,,,,0.0,,,,,,,,,0.004034372300537825,,,,,100000.0,97158.22580596074,100000.0,0.0,-0.02841774194039259
2011-01-11,134.79,135.16,133.96,134.91,10271700,4.904607889450726,0.005872967852697641,0.005890247539516835,-0.022645795706479177,-0.02239130434782599,,,,,,,,,,,,9.031044650222185,,,,0.0,,,,,,,,,0.005872967852697641,,,,,100000.0,97728.83294274428,100000.0,0.0,-0.022711670572557196
2011-01-12,134.79,135.58,134.35,135.46,10789600,4.908676393786758,0.004068504336031786,0.004076791935364366,-0.01857729137044739,-0.018405797101449184,,,,,,,,,,,,12.994855108469991,,,,0.0,,,,,,,,,0.004068504336031786,,,,,100000.0,98126.44312332716,100000.0,0.0,-0.018735568766728394
2011-01-13,135.66,135.68,133.63,134.05,14302700,4.898212864681969,-0.010463529104788982,-0.010408976819725302,-0.029040820475236373,-0.028623188405796918,,,,,,,,,,,,11.511164759613152,,,,0.0,,,,,,,,,-0.010463529104788982,,,,,100000.0,97099.69422975682,100000.0,0.0,-0.029003057702431834
2011-01-14,133.17,133.6,132.22,132.69,21226500,4.888015580548345,-0.010197284133623974,-0.010145468108914701,-0.03923810460886035,-0.038478260869565184,,,,,,,,,,,,10.213363154545249,,,,0.0,,,,,,,,,-0.010197284133623974,,,,,100000.0,96109.54105840798,100000.0,0.0,-0.0389045894159202
2011-01-18,133.62,134.0,133.17,133.43,11599700,4.893576995754329,0.00556141520598441,0.0055769085839174615,-0.03367668940287594,-0.03311594202898538,,,,,,,,,,,,16.14862576727704,0.9506549639769344,,,0.0,,,,,,,,,0.00556141520598441,,,,,100000.0,96644.04612149039,100000.0,0.0,-0.033559538785096085
2011-01-19,134.37,134.4,133.4,133.72,11795100,4.895748061551898,0.002171065797568872,0.0021734242674060766,-0.031505623605307065,-0.031014492753623113,,,,,,,,,,,,18.582293502381177,0.5554132095406071,,,0.0,,,,,,,,,0.002171065797568872,,,,,100000.0,96853.86670456344,100000.0,0.0,-0.031461332954365644
2011-01-20,131.76,132.1,131.04,131.2,24362800,4.876722876509988,-0.019025185041909864,-0.01884534848938091,-0.05053080864721693,-0.049275362318840665,,,,,,,,,,,,14.393656808792386,-1.5082074443711504,,,0.0,,,,,,,,,-0.019025185041909864,,,,,100000.0,95011.20396848464,100000.0,0.0,-0.049887960315153614
2011-01-21,130.76,131.43,130.53,131.03,19490700,4.875426304616494,-0.0012965718934943027,-0.001295731707317005,-0.05182738054071123,-0.05050724637681159,,,,,,,,,,,,14.145465309180125,0.28500527916148827,,,0.0,,,,,,,,,-0.0012965718934943027,,,,,100000.0,94888.01511185204,100000.0,0.0,-0.05111984888147956
2011-01-24,131.01,131.63,130.14,130.36,15127100,4.870299853969361,-0.005126450647132685,-0.005113332824543848,-0.05695383118784392,-0.055362318840579516,,,,,,,,,,,,13.116924415389803,-0.11663519046361381,,,0.0,,,,,,,,,-0.005126450647132685,,,,,100000.0,94401.57638537676,100000.0,0.0,-0.055984236146232436
2011-01-25,129.65,130.27,129.07,130.1,22224400,4.86830338551846,-0.0019964684509012898,-0.0019944768333846064,-0.05895029963874521,-0.05724637681159417,,,,,,,,,,,,12.703335818114766,0.2207240243527832,,,0.0,,,,,,,,,-0.0019964684509012898,,,,,100000.0,94213.106616408,100000.0,0.0,-0.05786893383592003
2011-01-26,129.83,131.17,129.28,131.16,20548300,4.876417951976448,0.008114566457988026,0.008147578785549614,-0.05083573318075718,-0.04956521739130426,,,,,,,,,,,,23.979190141119176,1.2570565886822298,,,0.0,,,,,,,,,0.008114566457988026,,,,,100000.0,94977.60513126035,100000.0,0.0,-0.05022394868739648
2011-01-27,130.29,130.49,127.8,127.93,33046900,4.851483239328943,-0.024934712647504576,-0.024626410491003226,-0.07577044582826176,-0.07297101449275345,,,,,,,,,,,,16.490211433923108,-2.0129120252029553,,,0.0,,,,,,,,,-0.024934712647504576,,,,,100000.0,92609.36583936421,100000.0,0.0,-0.0739063416063579
2011-01-28,127.97,131.48,127.95,130.28,28096000,4.869685980408033,0.018202741079089257,0.018369420776987333,-0.0575677047491725,-0.05594202898550715,,,,,,,,,,,,33.83691882972488,1.9070710861308544,,,0.0,,,,,,,,,0.018202741079089257,,,,,100000.0,94295.11014723682,100000.0,0.0,-0.05704889852763183
2011-01-31,129.27,130.51,129.25,129.87,14670000,4.866533950121999,-0.0031520302860332805,-0.0031470678538532137,-0.06071973503520578,-0.05891304347826076,,,-0.6893090922262167,,,,132.74200000000002,,,,,32.47878266703867,0.004011218354768322,,,0.0,,,,,,,,,-0.0031520302860332805,,,,,100000.0,93997.88910422788,100000.0,0.0,-0.060021108957721156
2011-02-01,130.52,131.08,129.33,130.8,15365900,4.873669439023098,0.007135488901099052,0.007161007161007316,-0.05358424613410673,-0.05217391304347796,,,-0.5866014165638946,,,,132.382,,0.17244995093599302,,,38.8976368389043,0.9034711187198112,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.007135488901099052,,,,,100000.0,94668.60999865783,100000.0,0.0,-0.053313900013421664
2011-02-02,130.37,130.6,129.45,130.45,10085100,4.870990011582737,-0.002679427440360982,-0.0026758409785934134,-0.05626367357446771,-0.05471014492753612,,,-0.568062235774381,,,,132.167,,0.15332160596814565,,,37.35556175509715,-0.10952876567750827,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002679427440360982,0.0,0.0,-0.0,-0.0,100000.0,94414.9523272866,100000.0,0.0,-0.05585047672713394
2011-02-03,130.07,132.32,129.28,132.2,17414600,4.884315927417586,0.013325915834848878,0.013415101571483401,-0.04293775773961883,-0.04202898550724621,,,-0.5004966712999023,,,,132.0585,,0.16210712612015335,,,49.01642056003765,1.3846720350002013,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013325915834848878,0.0,0.0,0.0,0.0,100000.0,95673.11803555129,100000.0,0.0,-0.04326881964448708
2011-02-04,131.84,132.7,131.23,131.66,15216100,4.88022284203973,-0.0040930853778560206,-0.004084720121028673,-0.04703084311747485,-0.04594202898550703,,,-0.4575191015011262,,,,131.95,,0.16212470610301485,,,45.9697613062188,-0.3207425583716117,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040930853778560206,0.0,0.0,-0.0,-0.0,100000.0,95281.51979506608,100000.0,0.0,-0.0471848020493392
2011-02-07,131.67,131.95,131.23,131.68,7179100,4.88037473692876,0.0001518948890293359,0.00015190642564189005,-0.046878948228445516,-0.04579710144927507,,,-0.41523965967459997,,,,131.855,,0.16210947057752478,,,46.11289809142896,0.08501673272814733,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001518948890293359,0.0,0.0,0.0,0.0,100000.0,95295.9925709419,100000.0,0.0,-0.04704007429058096
2011-02-08,132.96,133.5,132.8,133.14,16227100,4.891401206172557,0.011026469243797798,0.011087484811664439,-0.03585247898464772,-0.035217391304347756,,,-0.31178364462432157,,,,131.80599999999998,,0.16666317622124743,,,55.94377804492495,1.0851870898400904,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011026469243797798,0.0,0.0,0.0,0.0,100000.0,96346.77090208259,100000.0,0.0,-0.03653229097917414
