Date,Open,High,Low,Close,Change,%Change,Volume
10/2/12,172.47,172.7,171.59,172.1,-0.2,-0.12%,7057000
10/3/12,172.51,172.61,171.89,172.41,0.31,0.18%,5653700
10/4/12,173.2,174.07,172.92,173.61,1.2,0.70%,10379200
10/5/12,172.87,173.37,172.01,172.62,-0.99,-0.57%,8871200
10/8/12,171.75,172.28,171.68,172.05,-0.57,-0.33%,3750900
10/9/12,171.86,172.17,170.56,170.99,-1.06,-0.62%,7755600
10/10/12,170.54,171.34,170.3,170.84,-0.15,-0.09%,7365300
10/11/12,171.3,171.95,171.13,171.32,0.48,0.28%,5716800
10/12/12,171.15,171.41,169.81,170.06,-1.26,-0.74%,8267200
10/15/12,169.01,169.1,167.53,168.35,-1.71,-1.01%,10711000
10/16/12,168.87,169.45,168.67,169.42,1.07,0.64%,6208300
10/17/12,169.21,169.95,168.92,169.54,0.12,0.07%,5203300
10/18/12,168.8,169.31,168.59,168.79,-0.75,-0.44%,6612600
10/19/12,168.42,168.45,166.23,166.97,-1.82,-1.08%,13861400
10/22/12,167.08,167.63,167.03,167.58,0.61,0.37%,6371600
10/23/12,166.04,166.06,165.12,165.43,-2.15,-1.28%,11892400
10/24/12,165.78,165.83,164.6,164.86,-0.57,-0.34%,10794800
10/25/12,166.29,166.53,165.77,166.02,1.16,0.70%,7015500
10/26/12,166.23,166.6,165.77,165.93,-0.09,-0.05%,6441700
10/31/12,166.47,167.28,166.38,166.83,0.9,0.54%,4682900
11/1/12,167.02,167.04,166.04,166.07,-0.76,-0.46%,6021000
11/2/12,164.45,164.47,162.3,162.6,-3.47,-2.09%,14763500
11/5/12,163.12,163.42,162.81,163.23,0.63,0.39%,6158600
11/6/12,163.91,166.77,163.61,166.3,3.07,1.88%,16051700
11/7/12,166.87,167.13,165.04,166.49,0.19,0.11%,13198200
11/8/12,166.14,168.16,166.12,167.99,1.5,0.90%,8828900
11/9/12,168.21,168.54,167.55,167.82,-0.17,-0.10%,7361800
11/12/12,168.1,168.28,167.21,167.45,-0.37,-0.22%,5652100
11/13/12,166.66,167.94,166.63,167.1,-0.35,-0.21%,6471300
11/14/12,167.45,168.04,166.78,167.14,0.04,0.02%,8513600
11/15/12,167,167.06,165.18,166.09,-1.05,-0.63%,10023200
11/16/12,165.74,166.36,165.47,165.88,-0.21,-0.13%,6944800
11/19/12,167.75,168.16,167.38,167.87,1.99,1.20%,6771600
11/20/12,167.75,168.02,166.84,167.39,-0.48,-0.29%,5502100
